ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
10,10,Dingen,Schleswig-Holstein,628,Dingen,628,0.51910828,0.48089172,0.04253,0.25842,0.54766,0.11867,0.02198,0.01075,0.04907,0.04099,0.04326,0.05098,0.04802,0.06218,0.05121,0.04916,0.0656,0.06267,0.09779,0.08413,0.05626,0.04953,0.04112,0.05565,0.04696,0.04543,0.01895,0.05453,0.0665,0.11014,0.09154,0.10755,0.01212,0.01488,0.28178,0.24202,0.24114,0.27647,0.1531,0.32929
11,11,Eddelak,Schleswig-Holstein,1335,Eddelak,1335,0.49588015,0.50411985,0.39364,0.12353,0.02776,0.10608,0.04617,0.30282,0.04172,0.05004,0.05306,0.04646,0.05483,0.04903,0.05239,0.05065,0.05561,0.06705,0.09637,0.08712,0.05887,0.05824,0.05646,0.04886,0.03114,0.04212,0.02333,0.2011,0.13352,0.19195,0.00192,0.03143,0.03225,0.19056,0.0016,0.19235,0.25873,0.13496,0.24322,0.36309
12,12,Eggstedt,Schleswig-Holstein,763,Eggstedt,763,0.51114024,0.48885976,0.18858,0.0142,0.27574,0.35953,0.02952,0.13243,0.04247,0.04121,0.04923,0.0449,0.0482,0.05531,0.05143,0.063,0.04947,0.06751,0.08469,0.08305,0.06455,0.06634,0.05939,0.05839,0.03335,0.03751,0.18089,0.02658,0.06555,0.10472,0.11836,0.03765,0.00824,0.02673,0.31502,0.11626,0.43708,0.10536,0.15731,0.30026
13,13,Frestedt,Schleswig-Holstein,349,Frestedt,349,0.51289398,0.48710602,0.07895,0.084,0.04359,0.49213,0.19721,0.10412,0.05305,0.04922,0.05339,0.04185,0.05239,0.05652,0.04993,0.05256,0.05706,0.07086,0.09071,0.08278,0.05904,0.05993,0.05539,0.04838,0.03378,0.03317,0.1077,0.18534,0.18594,0.09555,0.05875,0.04576,0.20086,0.04636,0.00657,0.06716,0.392,0.48582,0.02804,0.09414
14,14,Großenrade,Schleswig-Holstein,462,Großenrade,462,0.504329,0.495671,0.17389,0.24204,0.14732,0.16025,0.20818,0.06832,0.03735,0.03812,0.04131,0.04097,0.0582,0.04851,0.0548,0.06323,0.06388,0.07368,0.09564,0.07229,0.06383,0.05715,0.05241,0.05219,0.04421,0.04223,0.23191,0.09109,0.10489,0.04371,0.11936,0.29387,0.02584,0.00966,0.05077,0.0289,0.03006,0.39426,0.16961,0.40607
15,15,Hochdonn,Schleswig-Holstein,1079,Hochdonn,1079,0.50231696,0.49768304,0.12199,0.15418,0.11586,0.12748,0.14664,0.33385,0.04541,0.04816,0.04731,0.05071,0.05949,0.05026,0.04827,0.05408,0.06049,0.06826,0.09219,0.07926,0.05998,0.06698,0.04197,0.05612,0.03143,0.03963,0.08742,0.09919,0.08942,0.24046,0.16822,0.07186,0.10145,0.05939,0.05883,0.02377,0.31039,0.18228,0.3329,0.17443
16,16,Kuden,Schleswig-Holstein,576,Kuden,576,0.50868056,0.49131944,0.31065,0.08589,0.48028,0.04534,0.04687,0.03097,0.04716,0.03634,0.04572,0.03898,0.05695,0.05048,0.05585,0.06784,0.0604,0.07571,0.09104,0.07877,0.06624,0.05488,0.04707,0.04704,0.04734,0.03218,0.23724,0.10897,0.08844,0.02227,0.09871,0.12131,0.04302,0.04615,0.0543,0.17959,0.02499,0.86284,0.09096,0.02121
17,17,Quickborn,Schleswig-Holstein,189,Quickborn,189,0.47619048,0.52380952,0.15729,0.08399,0.1292,0.12613,0.38695,0.11643,0.05104,0.04587,0.04278,0.04441,0.04889,0.05247,0.05845,0.06589,0.05142,0.07078,0.09695,0.08531,0.05855,0.05764,0.0429,0.052,0.04548,0.02917,0.12998,0.05692,0.02177,0.00169,0.15419,0.03458,0.18151,0.05549,0.12503,0.23883,0.31151,0.0632,0.32092,0.30437
18,18,Sankt Michaelisdonn,Schleswig-Holstein,3410,Sankt Michaelisdonn,3410,0.49296188,0.50703812,0.07695,0.02992,0.17789,0.13775,0.22932,0.34817,0.04257,0.04744,0.04456,0.05027,0.05481,0.06083,0.05197,0.05502,0.06353,0.07113,0.08098,0.08952,0.06398,0.05654,0.04152,0.04982,0.03747,0.03806,0.00336,0.06511,0.10859,0.06291,0.21666,0.1184,0.02111,0.11225,0.06338,0.22822,0.09364,0.22273,0.03362,0.65002
19,19,Süderhastedt,Schleswig-Holstein,784,Süderhastedt,784,0.48979592,0.51020408,0.04714,0.07358,0.27973,0.3354,0.19352,0.07063,0.03514,0.03607,0.04796,0.04975,0.04911,0.05541,0.05374,0.05485,0.05312,0.07486,0.09393,0.08262,0.06307,0.06364,0.05179,0.0615,0.03969,0.03377,0.08606,0.05476,0.04515,0.03538,0.12358,0.0988,0.17628,0.03993,0.173,0.16707,0.22565,0.28215,0.08501,0.40719
20,20,Diekhusen-Fahrstedt,Schleswig-Holstein,704,Diekhusen-Fahrstedt,704,0.49289773,0.50710227,0.10104,0.19858,0.17742,0.1073,0.04696,0.36871,0.04094,0.0391,0.04045,0.04294,0.05928,0.05589,0.05055,0.05793,0.05367,0.07084,0.08787,0.07478,0.07439,0.06575,0.04996,0.05999,0.0412,0.03446,0.03227,0.47114,0.201,0.00233,0.03621,0.01236,0.09358,0.0347,0.03057,0.08583,0.20967,0.01955,0.69828,0.07251
21,21,Friedrichskoog,Schleswig-Holstein,2574,Friedrichskoog,2574,0.5042735,0.4957265,0.16854,0.11351,0.35399,0.28779,0.05046,0.0257,0.03669,0.05097,0.04959,0.04576,0.05771,0.05922,0.0633,0.05227,0.05086,0.06481,0.09448,0.07532,0.05736,0.0574,0.05073,0.05404,0.03769,0.0418,0.19979,0.11428,0.1106,0.07894,0.07706,0.2078,0.0423,0.00059,0.15793,0.01071,0.24375,0.09493,0.02553,0.63579
22,22,Helse,Schleswig-Holstein,829,Helse,829,0.51266586,0.48733414,0.07934,0.14758,0.10249,0.49919,0.02394,0.14746,0.04996,0.04926,0.04233,0.04829,0.05551,0.04864,0.06063,0.04875,0.05343,0.07325,0.08583,0.08154,0.05767,0.06358,0.04163,0.05931,0.04258,0.03781,0.04961,0.09144,0.00846,0.23462,0.06148,0.02132,0.15736,0.0278,0.03396,0.31395,0.20836,0.12686,0.48834,0.17644
23,23,Kaiser-Wilhelm-Koog,Schleswig-Holstein,354,Kaiser-Wilhelm-Koog,354,0.51694915,0.48305085,0.27047,0.43566,0.0038,0.21383,0.03367,0.04257,0.03958,0.0518,0.05202,0.03594,0.0548,0.05711,0.06447,0.04851,0.05664,0.06129,0.09118,0.07937,0.05983,0.05986,0.04252,0.06239,0.04099,0.0417,0.05932,0.06946,0.19041,0.06526,0.03435,0.06984,0.23415,0.19195,0.05689,0.02838,0.00265,0.27494,0.36621,0.3562
24,24,Kronprinzenkoog,Schleswig-Holstein,817,Kronprinzenkoog,817,0.51162791,0.48837209,0.16159,0.28285,0.06181,0.18948,0.21631,0.08797,0.04165,0.05227,0.04442,0.04099,0.06179,0.05667,0.05765,0.049,0.06054,0.06761,0.08968,0.07187,0.06317,0.05003,0.05623,0.04994,0.04443,0.04206,0.11249,0.12177,0.1305,0.00612,0.07829,0.02836,0.08226,0.05165,0.30318,0.08538,0.01132,0.1299,0.30495,0.55384
25,25,Marne,Schleswig-Holstein,5858,Marne,5858,0.47934449,0.52065551,0.20454,0.21692,0.20456,0.24184,0.05692,0.07522,0.04011,0.03668,0.03779,0.04708,0.05218,0.05802,0.05528,0.06425,0.05146,0.07684,0.09684,0.07492,0.06213,0.06738,0.04612,0.05248,0.03996,0.04047,0.01747,0.09391,0.10062,0.00784,0.27296,0.11908,0.00878,0.05387,0.03777,0.28769,0.2913,0.30915,0.10369,0.29587
26,26,Marnerdeich,Schleswig-Holstein,402,Marnerdeich,402,0.53731343,0.46268657,0.10031,0.04188,0.404,0.27962,0.16015,0.01405,0.0399,0.03866,0.04708,0.03893,0.0518,0.05852,0.06131,0.05028,0.05539,0.07157,0.0921,0.08142,0.07046,0.06211,0.04161,0.05042,0.04629,0.04218,0.01786,0.00975,0.19684,0.16259,0.12398,0.17064,0.03121,0.10767,0.14359,0.03588,0.05906,0.38095,0.22002,0.33997
27,27,Neufeld,Schleswig-Holstein,595,Neufeld,595,0.50252101,0.49747899,0.28425,0.10945,0.1268,0.00831,0.01932,0.45187,0.04627,0.05291,0.03837,0.03549,0.06579,0.05999,0.05058,0.05546,0.06732,0.0691,0.08832,0.07555,0.05937,0.05396,0.04573,0.05333,0.03607,0.04639,0.20448,0.07777,0.02704,0.05538,0.03025,0.04858,0.09381,0.1042,0.22938,0.12911,0.13472,0.16493,0.54485,0.1555
28,28,Neufelderkoog,Schleswig-Holstein,126,Neufelderkoog,126,0.53968254,0.46031746,0.0379,0.01274,0.18823,0.11717,0.37977,0.26418,0.04107,0.04036,0.04714,0.04536,0.05604,0.05854,0.04603,0.04875,0.05681,0.0719,0.09265,0.07029,0.07055,0.06343,0.05381,0.05621,0.04012,0.04095,0.12674,0.09678,0.04885,0.10537,0.04297,0.05643,0.26145,0.03702,0.15035,0.07403,0.45196,0.50087,0.02863,0.01853
29,29,Ramhusen,Schleswig-Holstein,161,Ramhusen,161,0.49689441,0.50310559,0.29277,0.1159,0.19107,0.06572,0.10477,0.22977,0.05205,0.04762,0.04537,0.0336,0.05631,0.06,0.04958,0.04924,0.064,0.06026,0.09666,0.08316,0.06248,0.04957,0.04443,0.05575,0.04911,0.04079,0.04857,0.10529,0.13628,0.17168,0.08821,0.07002,0.0873,0.18698,0.05305,0.05261,0.58663,0.01888,0.20364,0.19085
30,30,Schmedeswurth,Schleswig-Holstein,176,Schmedeswurth,176,0.53977273,0.46022727,0.31249,0.03475,0.29209,0.32271,0.01205,0.0259,0.03967,0.04224,0.04159,0.03774,0.04914,0.05961,0.05219,0.05575,0.04847,0.06633,0.09963,0.08163,0.06949,0.06577,0.05341,0.05736,0.04392,0.03605,0.02699,0.119,0.10671,0.01798,0.22938,0.23714,0.00604,0.05691,0.07008,0.12978,0.02282,0.11987,0.77203,0.08528
31,31,Trennewurth,Schleswig-Holstein,243,Trennewurth,243,0.54320988,0.45679012,0.08306,0.22085,0.22279,0.39985,0.06844,0.00502,0.04231,0.04866,0.04745,0.03462,0.05047,0.05923,0.0559,0.05609,0.05361,0.06421,0.09202,0.08844,0.05926,0.06733,0.05743,0.04804,0.03586,0.03907,0.03443,0.05036,0.38187,0.01019,0.06602,0.10003,0.1177,0.07406,0.04241,0.12293,0.45494,0.16896,0.17759,0.19851
32,32,Volsemenhusen,Schleswig-Holstein,344,Volsemenhusen,344,0.5494186,0.4505814,0.14398,0.15323,0.04324,0.09608,0.5508,0.01266,0.04391,0.05313,0.04793,0.03808,0.05627,0.05966,0.05023,0.06669,0.05599,0.07372,0.09099,0.07676,0.05906,0.05217,0.0475,0.04974,0.04429,0.03387,0.06117,0.09942,0.02856,0.11044,0.02157,0.18493,0.16171,0.00551,0.12613,0.20057,0.00517,0.26865,0.33561,0.39056
33,33,Barkenholm,Schleswig-Holstein,166,Barkenholm,166,0.54819277,0.45180723,0.03537,0.07875,0.30376,0.22688,0.31943,0.03581,0.04581,0.04832,0.05086,0.03356,0.05894,0.0656,0.0557,0.06028,0.05623,0.06208,0.0894,0.07729,0.06109,0.05557,0.05285,0.04775,0.0495,0.02915,0.15947,0.27,0.06897,0.11918,0.1794,0.02757,0.10457,0.01144,0.03291,0.02649,0.14712,0.46965,0.26077,0.12246
34,34,Bergewöhrden,Schleswig-Holstein,37,Bergewöhrden,37,0.43243243,0.56756757,0.00976,0.20095,0.0492,0.46626,0.26045,0.01339,0.04136,0.03978,0.0525,0.04363,0.06079,0.05327,0.05476,0.06139,0.05911,0.06815,0.08118,0.08037,0.06145,0.04823,0.04729,0.06171,0.04239,0.04264,0.06474,0.04132,0.02326,0.07349,0.21537,0.05959,0.14153,0.15578,0.05486,0.17004,0.48098,0.25314,0.11695,0.14893
35,35,Dellstedt,Schleswig-Holstein,745,Dellstedt,745,0.52080537,0.47919463,0.09028,0.03019,0.48499,0.00273,0.21111,0.1807,0.04996,0.04964,0.05267,0.03589,0.05029,0.05916,0.06282,0.05727,0.06005,0.07305,0.08187,0.07203,0.06558,0.05002,0.04343,0.05865,0.03715,0.04048,0.14134,0.09513,0.18577,0.04956,0.40189,0.00283,0.00041,0.01621,0.05238,0.05448,0.02606,0.19094,0.1701,0.6129
36,36,Delve,Schleswig-Holstein,700,Delve,700,0.50857143,0.49142857,0.35822,0.07455,0.05594,0.03705,0.15723,0.317,0.0403,0.04893,0.05287,0.04783,0.054,0.05181,0.06415,0.06029,0.04924,0.07423,0.0931,0.08102,0.05949,0.05881,0.04327,0.05398,0.03915,0.02754,0.23796,0.05673,0.0921,0.30192,0.10265,0.0198,0.04949,0.00732,0.00955,0.12247,0.16548,0.01001,0.3541,0.47041
37,37,Dörpling,Schleswig-Holstein,624,Dörpling,624,0.50801282,0.49198718,0.09141,0.04986,0.0667,0.42559,0.31168,0.05475,0.04607,0.04882,0.03909,0.04117,0.06174,0.05426,0.05239,0.05536,0.05116,0.07663,0.08896,0.08856,0.05611,0.05419,0.0528,0.05769,0.04397,0.03104,0.00871,0.00939,0.00453,0.11071,0.06874,0.05495,0.09415,0.13189,0.39277,0.12416,0.14825,0.06784,0.55743,0.22648
38,38,Fedderingen,Schleswig-Holstein,279,Fedderingen,279,0.50179211,0.49820789,0.49976,0.11736,0.25843,0.02345,0.05304,0.04796,0.03863,0.04043,0.04822,0.03847,0.05453,0.05557,0.0575,0.06634,0.06113,0.06614,0.09227,0.07812,0.0585,0.0617,0.05636,0.0507,0.03762,0.03776,0.09323,0.01617,0.00762,0.12024,0.09172,0.14043,0.26283,0.05474,0.15552,0.05751,0.42819,0.10509,0.37828,0.08845
39,39,Gaushorn,Schleswig-Holstein,167,Gaushorn,167,0.48502994,0.51497006,0.09525,0.3227,0.20399,0.28382,0.00348,0.09077,0.04695,0.0519,0.04783,0.03583,0.04722,0.05828,0.05636,0.05972,0.05158,0.07036,0.09203,0.07406,0.05658,0.06616,0.04596,0.06051,0.03682,0.04184,0.01403,0.01666,0.14906,0.21064,0.0074,0.18792,0.15713,0.03803,0.14241,0.07673,0.61214,0.11642,0.06987,0.20157
40,40,Glüsing,Schleswig-Holstein,112,Glüsing,112,0.51785714,0.48214286,0.31811,0.46952,0.0652,0.01703,0.12658,0.00357,0.05072,0.04403,0.03971,0.03531,0.04897,0.05617,0.05672,0.05538,0.05136,0.07813,0.09198,0.08203,0.0599,0.05187,0.06013,0.04925,0.04114,0.04719,0.11092,0.10286,0.13974,0.13972,0.01859,0.24131,0.01744,0.01227,0.08805,0.12911,0.23455,0.47568,0.23843,0.05135
41,41,Groven,Schleswig-Holstein,72,Groven,72,0.63888889,0.36111111,0.09887,0.16536,0.24568,0.0089,0.02392,0.45727,0.0364,0.0363,0.04834,0.03451,0.05552,0.06038,0.0549,0.05069,0.05426,0.07467,0.09947,0.07888,0.06602,0.0643,0.05123,0.05322,0.0502,0.0307,0.0041,0.00286,0.02013,0.16972,0.02079,0.15275,0.01398,0.12767,0.11578,0.37221,0.10672,0.06845,0.29285,0.53199
42,42,Hemme,Schleswig-Holstein,512,Hemme,512,0.54492188,0.45507812,0.3112,0.17173,0.04267,0.39888,0.06343,0.01208,0.05135,0.04818,0.03841,0.04363,0.04608,0.06264,0.05962,0.06373,0.06172,0.0603,0.08773,0.07787,0.06578,0.05804,0.04339,0.05741,0.03286,0.04126,0.13454,0.0156,0.06328,0.08152,0.05178,0.17795,0.03778,0.02965,0.19786,0.21004,0.27715,0.41579,0.12584,0.18122
43,43,Hennstedt,Schleswig-Holstein,1931,Hennstedt,1931,0.49663387,0.50336613,0.33345,0.02925,0.02228,0.02355,0.38064,0.21083,0.04183,0.049,0.04317,0.03413,0.05958,0.05358,0.05005,0.05312,0.06525,0.07928,0.09689,0.0783,0.07091,0.05098,0.04545,0.06141,0.03401,0.03307,0.23257,0.00813,0.12275,0.01396,0.0663,0.20666,0.03209,0.01136,0.26932,0.03684,0.46601,0.16341,0.18051,0.19006
44,44,Hövede,Schleswig-Holstein,60,Hövede,60,0.51666667,0.48333333,0.30982,0.07785,0.20926,0.16088,0.03473,0.20746,0.0524,0.04461,0.04781,0.04633,0.06218,0.06327,0.05341,0.05542,0.0531,0.0652,0.08423,0.07714,0.06084,0.05298,0.05317,0.05052,0.0492,0.02819,0.2741,0.12837,0.06873,0.057,0.03077,0.03112,0.01429,0.07688,0.19538,0.12337,0.26178,0.33793,0.29818,0.10211
45,45,Hollingstedt,Schleswig-Holstein,291,Hollingstedt,291,0.47766323,0.52233677,0.00297,0.01971,0.37627,0.34506,0.04247,0.21351,0.03809,0.04706,0.04889,0.04747,0.04785,0.05762,0.06119,0.05336,0.05561,0.07343,0.08119,0.07454,0.06546,0.06428,0.05331,0.06062,0.03074,0.0393,0.01097,0.01368,0.02971,0.06774,0.10283,0.08967,0.0826,0.42929,0.05086,0.12264,0.02212,0.39439,0.14939,0.4341
46,46,Karolinenkoog,Schleswig-Holstein,145,Karolinenkoog,145,0.55862069,0.44137931,0.20678,0.04519,0.26194,0.01062,0.33754,0.13793,0.04721,0.04127,0.05283,0.0387,0.05257,0.06136,0.05516,0.05492,0.06003,0.06561,0.09411,0.08117,0.0594,0.05772,0.05397,0.04848,0.03986,0.03563,0.09362,0.0102,0.23387,0.08895,0.05468,0.14202,0.18151,0.05253,0.13023,0.01239,0.61788,0.01131,0.33217,0.03863
47,47,Kleve,Schleswig-Holstein,400,Kleve,400,0.5225,0.4775,0.20079,0.52844,0.08375,0.02083,0.13422,0.03198,0.04166,0.03516,0.04907,0.03883,0.05837,0.06436,0.05039,0.06263,0.06361,0.06702,0.08764,0.07326,0.06256,0.06516,0.04208,0.05647,0.04245,0.03931,0.01378,0.11004,0.01829,0.21036,0.00669,0.33435,0.06696,0.08039,0.14196,0.01718,0.45539,0.22327,0.09539,0.22596
48,48,Krempel,Schleswig-Holstein,615,Krempel,615,0.50081301,0.49918699,0.26725,0.34334,0.19178,0.0305,0.03455,0.13259,0.04965,0.04404,0.04586,0.03594,0.04953,0.05007,0.06137,0.05709,0.05723,0.06557,0.09144,0.0806,0.06442,0.05746,0.05165,0.05798,0.04032,0.03977,0.1498,0.05482,0.00016,0.01008,0.57764,0.00623,0.02443,0.05757,0.11217,0.00711,0.12613,0.0286,0.41155,0.43372
49,49,Lehe,Schleswig-Holstein,1100,Lehe,1100,0.49272727,0.50727273,0.05024,0.35081,0.00318,0.15879,0.30192,0.13506,0.03571,0.04479,0.05237,0.03335,0.04604,0.04972,0.05853,0.06312,0.06004,0.07597,0.09084,0.07644,0.06481,0.05576,0.05371,0.06237,0.04129,0.03515,0.05045,0.01663,0.16756,0.00232,0.21251,0.04592,0.06835,0.23462,0.04799,0.15366,0.043,0.25619,0.04438,0.65642
50,50,Linden,Schleswig-Holstein,864,Linden,864,0.51041667,0.48958333,0.10377,0.04791,0.14204,0.24676,0.38358,0.07595,0.03677,0.05387,0.03788,0.04466,0.04872,0.05448,0.06725,0.05358,0.05572,0.07101,0.09985,0.07866,0.073,0.05144,0.04345,0.05042,0.03582,0.04341,0.11566,0.02268,0.03211,0.00473,0.22804,0.05041,0.03107,0.07726,0.02079,0.41724,0.1705,0.34358,0.15941,0.32651
51,51,Lunden,Schleswig-Holstein,1702,Lunden,1702,0.51175088,0.48824912,0.03834,0.25965,0.18428,0.37498,0.13367,0.00909,0.03729,0.05191,0.04395,0.03569,0.05479,0.05405,0.06195,0.06149,0.05447,0.06585,0.09015,0.08379,0.07542,0.05373,0.04264,0.05445,0.04051,0.03786,0.11688,0.28717,0.07627,0.00333,0.07978,0.05975,0.20672,0.12486,0.03933,0.00592,0.19107,0.36377,0.10958,0.33558
52,52,Norderheistedt,Schleswig-Holstein,149,Norderheistedt,149,0.5033557,0.4966443,0.19503,0.13639,0.03492,0.27823,0.19928,0.15615,0.04434,0.03831,0.04361,0.03725,0.06195,0.06341,0.06047,0.05609,0.06539,0.0637,0.08842,0.0822,0.06509,0.06891,0.04247,0.05059,0.0392,0.0286,0.12046,0.04199,0.03411,0.08774,0.24881,0.03193,0.10825,0.00037,0.06879,0.25755,0.32026,0.00067,0.20514,0.47393
53,53,Pahlen,Schleswig-Holstein,1149,Pahlen,1149,0.50217581,0.49782419,0.14921,0.13522,0.10636,0.36689,0.09904,0.14328,0.0503,0.03369,0.05269,0.04905,0.05081,0.05387,0.05959,0.05568,0.04732,0.07582,0.08913,0.07906,0.06402,0.04983,0.05215,0.05619,0.04245,0.03836,0.20203,0.01481,0.0,0.0647,0.01415,0.32037,0.12131,0.19094,0.0704,0.00129,0.72344,0.09485,0.01516,0.16655
54,54,Rehm-Flehde-Bargen,Schleswig-Holstein,508,Rehm-Flehde-Bargen,508,0.49015748,0.50984252,0.21624,0.1137,0.43102,0.20406,0.00104,0.03394,0.03794,0.03819,0.04548,0.03836,0.0489,0.04853,0.05727,0.06176,0.04898,0.06216,0.09668,0.08892,0.06196,0.06431,0.05185,0.05664,0.04679,0.04527,0.01948,0.02076,0.09858,0.14746,0.2746,0.29323,0.06063,0.07512,0.00131,0.00882,0.32747,0.23492,0.04645,0.39116
55,55,Sankt Annen,Schleswig-Holstein,331,Sankt Annen,331,0.52567976,0.47432024,0.42683,0.06244,0.01553,0.01199,0.23387,0.24934,0.04384,0.03899,0.04489,0.03989,0.06081,0.06094,0.06151,0.05211,0.05162,0.07468,0.08882,0.07382,0.06394,0.06269,0.0566,0.06107,0.03471,0.02906,0.01521,0.147,0.04212,0.22725,0.28613,0.00488,0.18208,0.02519,0.05063,0.01951,0.35087,0.1059,0.38192,0.16131
56,56,Schalkholz,Schleswig-Holstein,585,Schalkholz,585,0.4974359,0.5025641,0.09074,0.63551,0.0173,0.15381,0.08552,0.01711,0.046,0.03608,0.05303,0.04523,0.05321,0.06326,0.05124,0.05808,0.05099,0.06381,0.08866,0.08023,0.06281,0.05352,0.04142,0.06312,0.04922,0.04011,0.05252,0.14687,0.197,0.15603,0.06579,0.05707,0.20387,0.09356,0.02136,0.00594,0.28159,0.10763,0.53773,0.07305
